"GEO_ID","NAME","P5_001N","P5_002N","P5_003N","P5_004N","P5_005N","P5_006N","P5_007N","P5_008N","P5_009N","P5_010N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Institutionalized population:"," !!Total:!!Institutionalized population:!!Correctional facilities for adults"," !!Total:!!Institutionalized population:!!Juvenile facilities"," !!Total:!!Institutionalized population:!!Nursing facilities/Skilled-nursing facilities"," !!Total:!!Institutionalized population:!!Other institutional facilities"," !!Total:!!Noninstitutionalized population:"," !!Total:!!Noninstitutionalized population:!!College/University student housing"," !!Total:!!Noninstitutionalized population:!!Military quarters"," !!Total:!!Noninstitutionalized population:!!Other noninstitutional facilities",
"1400000US17085020101","Census Tract 201.01, Jo Daviess County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17085020102","Census Tract 201.02, Jo Daviess County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17085020200","Census Tract 202, Jo Daviess County, Illinois","48","47","0","0","47","0","1","0","0","1",
"1400000US17085020300","Census Tract 203, Jo Daviess County, Illinois","102","86","18","0","68","0","16","0","0","16",
"1400000US17085020401","Census Tract 204.01, Jo Daviess County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17085020402","Census Tract 204.02, Jo Daviess County, Illinois","17","17","0","0","17","0","0","0","0","0",
"1400000US17085020500","Census Tract 205, Jo Daviess County, Illinois","56","40","0","0","40","0","16","0","0","16",
"1400000US17087977600","Census Tract 9776, Johnson County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17087977700","Census Tract 9777, Johnson County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17087977800","Census Tract 9778, Johnson County, Illinois","63","48","0","0","48","0","15","0","0","15",
"1400000US17087980000","Census Tract 9800, Johnson County, Illinois","2388","2388","2388","0","0","0","0","0","0","0",
"1400000US17089850101","Census Tract 8501.01, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089850103","Census Tract 8501.03, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089850105","Census Tract 8501.05, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089850106","Census Tract 8501.06, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089850201","Census Tract 8502.01, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089850202","Census Tract 8502.02, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089850301","Census Tract 8503.01, Kane County, Illinois","3","0","0","0","0","0","3","0","0","3",
"1400000US17089850302","Census Tract 8503.02, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089850400","Census Tract 8504, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089850500","Census Tract 8505, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089850600","Census Tract 8506, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089850703","Census Tract 8507.03, Kane County, Illinois","5","0","0","0","0","0","5","0","0","5",
"1400000US17089850704","Census Tract 8507.04, Kane County, Illinois","161","161","0","0","161","0","0","0","0","0",
"1400000US17089850705","Census Tract 8507.05, Kane County, Illinois","12","0","0","0","0","0","12","0","0","12",
"1400000US17089850706","Census Tract 8507.06, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089850707","Census Tract 8507.07, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
