"GEO_ID","NAME","P4_001N","P4_002N","P4_003N","P4_004N","P4_005N","P4_006N","P4_007N","P4_008N","P4_009N","P4_010N","P4_011N","P4_012N","P4_013N","P4_014N","P4_015N","P4_016N","P4_017N","P4_018N","P4_019N","P4_020N","P4_021N","P4_022N","P4_023N","P4_024N","P4_025N","P4_026N","P4_027N","P4_028N","P4_029N","P4_030N","P4_031N","P4_032N","P4_033N","P4_034N","P4_035N","P4_036N","P4_037N","P4_038N","P4_039N","P4_040N","P4_041N","P4_042N","P4_043N","P4_044N","P4_045N","P4_046N","P4_047N","P4_048N","P4_049N","P4_050N","P4_051N","P4_052N","P4_053N","P4_054N","P4_055N","P4_056N","P4_057N","P4_058N","P4_059N","P4_060N","P4_061N","P4_062N","P4_063N","P4_064N","P4_065N","P4_066N","P4_067N","P4_068N","P4_069N","P4_070N","P4_071N","P4_072N","P4_073N",
"1400000US17197880503","Census Tract 8805.03, Will County, Illinois","3683","546","3137","3077","2582","311","0","184","0","0","60","53","9","19","3","0","12","1","1","0","5","0","0","0","3","0","0","7","0","2","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880508","Census Tract 8805.08, Will County, Illinois","2890","999","1891","1835","1388","277","0","163","0","7","56","51","8","20","12","0","10","1","0","0","0","0","0","0","0","0","0","5","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880509","Census Tract 8805.09, Will County, Illinois","2868","1296","1572","1489","1305","132","6","41","0","5","83","78","7","44","9","0","14","4","0","0","0","0","0","0","0","0","0","4","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880510","Census Tract 8805.10, Will County, Illinois","2352","643","1709","1642","683","712","0","238","0","9","67","63","22","5","8","0","14","0","0","1","11","1","0","0","1","0","0","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880511","Census Tract 8805.11, Will County, Illinois","2870","843","2027","1956","906","565","0","476","0","9","71","69","23","20","8","0","13","0","4","0","0","0","0","0","1","0","0","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880601","Census Tract 8806.01, Will County, Illinois","2460","182","2278","2198","2148","11","0","32","0","7","80","80","12","40","16","2","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880602","Census Tract 8806.02, Will County, Illinois","2750","271","2479","2402","2333","46","1","16","0","6","77","73","3","45","3","2","20","0","0","0","0","0","0","0","0","0","0","4","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880701","Census Tract 8807.01, Will County, Illinois","3605","301","3304","3212","3049","91","0","66","0","6","92","91","12","35","10","0","34","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880702","Census Tract 8807.02, Will County, Illinois","1965","601","1364","1303","669","619","7","5","0","3","61","52","18","7","3","0","14","6","1","0","3","0","0","0","0","0","0","9","5","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880901","Census Tract 8809.01, Will County, Illinois","5092","891","4201","4076","3611","328","7","127","0","3","125","120","16","48","8","1","40","5","0","0","0","1","0","0","1","0","0","4","2","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880903","Census Tract 8809.03, Will County, Illinois","2512","507","2005","1927","1340","525","6","54","1","1","78","76","17","12","13","0","20","11","0","0","3","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880905","Census Tract 8809.05, Will County, Illinois","2064","618","1446","1394","1277","93","0","15","0","9","52","47","0","17","10","0","18","0","2","0","0","0","0","0","0","0","0","5","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197881001","Census Tract 8810.01, Will County, Illinois","4168","302","3866","3787","3675","34","2","57","1","18","79","78","4","38","5","2","28","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197881002","Census Tract 8810.02, Will County, Illinois","3993","219","3774","3717","3663","7","0","37","0","10","57","57","0","20","21","0","14","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197881005","Census Tract 8810.05, Will County, Illinois","2848","183","2665","2612","2492","17","3","92","0","8","53","51","8","20","13","0","10","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197881006","Census Tract 8810.06, Will County, Illinois","1926","127","1799","1769","1725","11","0","30","0","3","30","30","1","13","13","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197881007","Census Tract 8810.07, Will County, Illinois","4376","263","4113","4016","3852","67","0","91","1","5","97","96","5","28","26","0","35","0","2","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
