"GEO_ID","NAME","H1_001N","H1_002N","H1_003N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant",
"1400000US17031110400","Census Tract 1104, Cook County, Illinois","2039","1891","148",
"1400000US17031110501","Census Tract 1105.01, Cook County, Illinois","1892","1785","107",
"1400000US17031110502","Census Tract 1105.02, Cook County, Illinois","1584","1484","100",
"1400000US17031120100","Census Tract 1201, Cook County, Illinois","1604","1527","77",
"1400000US17031120200","Census Tract 1202, Cook County, Illinois","1811","1770","41",
"1400000US17031120300","Census Tract 1203, Cook County, Illinois","2510","2430","80",
"1400000US17031120400","Census Tract 1204, Cook County, Illinois","1346","1294","52",
"1400000US17031130100","Census Tract 1301, Cook County, Illinois","2076","1981","95",
"1400000US17031130200","Census Tract 1302, Cook County, Illinois","647","611","36",
"1400000US17031130300","Census Tract 1303, Cook County, Illinois","1940","1848","92",
"1400000US17031140100","Census Tract 1401, Cook County, Illinois","1288","1224","64",
"1400000US17031140200","Census Tract 1402, Cook County, Illinois","1943","1808","135",
"1400000US17031140301","Census Tract 1403.01, Cook County, Illinois","917","844","73",
"1400000US17031140302","Census Tract 1403.02, Cook County, Illinois","1454","1348","106",
"1400000US17031140400","Census Tract 1404, Cook County, Illinois","2329","2240","89",
"1400000US17031140500","Census Tract 1405, Cook County, Illinois","1348","1261","87",
"1400000US17031140601","Census Tract 1406.01, Cook County, Illinois","910","862","48",
"1400000US17031140602","Census Tract 1406.02, Cook County, Illinois","1871","1724","147",
"1400000US17031140701","Census Tract 1407.01, Cook County, Illinois","1141","1086","55",
"1400000US17031140702","Census Tract 1407.02, Cook County, Illinois","2130","1998","132",
"1400000US17031140800","Census Tract 1408, Cook County, Illinois","2923","2766","157",
"1400000US17031150200","Census Tract 1502, Cook County, Illinois","3356","3073","283",
"1400000US17031150300","Census Tract 1503, Cook County, Illinois","3134","2955","179",
"1400000US17031150401","Census Tract 1504.01, Cook County, Illinois","1951","1820","131",
"1400000US17031150402","Census Tract 1504.02, Cook County, Illinois","1470","1364","106",
"1400000US17031150501","Census Tract 1505.01, Cook County, Illinois","1469","1377","92",
"1400000US17031150502","Census Tract 1505.02, Cook County, Illinois","1646","1520","126",
"1400000US17031150600","Census Tract 1506, Cook County, Illinois","1519","1398","121",
"1400000US17031150700","Census Tract 1507, Cook County, Illinois","1678","1589","89",
"1400000US17031150800","Census Tract 1508, Cook County, Illinois","1889","1770","119",
"1400000US17031151001","Census Tract 1510.01, Cook County, Illinois","1014","929","85",
"1400000US17031151002","Census Tract 1510.02, Cook County, Illinois","1768","1643","125",
"1400000US17031151100","Census Tract 1511, Cook County, Illinois","1951","1811","140",
"1400000US17031151200","Census Tract 1512, Cook County, Illinois","1356","1309","47",
"1400000US17031160100","Census Tract 1601, Cook County, Illinois","1036","991","45",
"1400000US17031160200","Census Tract 1602, Cook County, Illinois","1402","1332","70",
"1400000US17031160300","Census Tract 1603, Cook County, Illinois","2016","1888","128",
"1400000US17031160400","Census Tract 1604, Cook County, Illinois","2185","2048","137",
"1400000US17031160501","Census Tract 1605.01, Cook County, Illinois","1484","1359","125",
"1400000US17031160502","Census Tract 1605.02, Cook County, Illinois","1461","1351","110",
"1400000US17031160601","Census Tract 1606.01, Cook County, Illinois","1487","1408","79",
"1400000US17031160602","Census Tract 1606.02, Cook County, Illinois","1612","1487","125",
"1400000US17031160700","Census Tract 1607, Cook County, Illinois","2386","2214","172",
"1400000US17031160800","Census Tract 1608, Cook County, Illinois","2076","1913","163",
"1400000US17031160900","Census Tract 1609, Cook County, Illinois","1111","1041","70",
"1400000US17031161000","Census Tract 1610, Cook County, Illinois","921","884","37",
"1400000US17031161100","Census Tract 1611, Cook County, Illinois","832","785","47",
"1400000US17031161200","Census Tract 1612, Cook County, Illinois","1069","1005","64",
"1400000US17031161300","Census Tract 1613, Cook County, Illinois","1800","1636","164",
"1400000US17031170100","Census Tract 1701, Cook County, Illinois","1130","1081","49",
"1400000US17031170200","Census Tract 1702, Cook County, Illinois","1316","1265","51",
"1400000US17031170300","Census Tract 1703, Cook County, Illinois","1946","1866","80",
